currency,T_days,wknd_frac,moneyness,eff_time_frac,vol_weekday,vol_weekend,vol_cut_pct,vol_cut_points,elasticity,prem_weekday_pct_fwd,prem_weekend_pct_fwd,price_cut_pct,price_cut_firstorder_pct,price_gap_pct
ETH,3.0,0.0,at the money,1.0,0.8330905526339868,0.8330905526339868,0.0,0.0,0.9995247206112187,3.0124042737286194,3.0124042737286194,0.0,0.0,0.0
ETH,3.0,0.0,1 sd out,1.0,0.8330905526339868,0.8330905526339868,0.0,0.0,2.903514911102677,0.6531848908157195,0.6531848908157195,0.0,0.0,0.0
ETH,3.0,0.0,2 sd out,1.0,0.8330905526339868,0.8330905526339868,0.0,0.0,6.357864744329209,0.06912065113736827,0.06912065113736827,0.0,0.0,0.0
ETH,3.0,0.2857142857142857,at the money,0.8986874371676944,0.8330905526339868,0.7897625662584677,-5.2008735711296605,-4.332798637551905,0.9995247206112187,3.0124042737286194,2.85580169179262,-5.198591148662923,-5.1984017031176455,0.6158711487877611
ETH,3.0,0.2857142857142857,1 sd out,0.8986874371676944,0.8330905526339868,0.7897625662584677,-5.2008735711296605,-4.332798637551905,2.903514911102677,0.6531848908157195,0.5572014177529699,-14.694686667182722,-15.100813964534797,1.8966391237731806
ETH,3.0,0.2857142857142857,2 sd out,0.8986874371676944,0.8330905526339868,0.7897625662584677,-5.2008735711296605,-4.332798637551905,6.357864744329209,0.06912065113736827,0.04859599773310297,-29.693952627088592,-33.06645071759882,4.311565039749299
ETH,3.0,0.5,at the money,0.8227030150434651,0.8330905526339868,0.7556379375696605,-9.297022372831377,-7.745261506432632,0.9995247206112187,3.0124042737286194,2.7324554999600235,-9.293200657363554,-9.29260368972053,1.1873950819403012
ETH,3.0,0.5,1 sd out,0.8227030150434651,0.8330905526339868,0.7556379375696605,-9.297022372831377,-7.745261506432632,2.903514911102677,0.6531848908157195,0.4855812984134261,-25.659441110614843,-26.99404308837109,3.850287856389678
ETH,3.0,0.5,2 sd out,0.8227030150434651,0.8330905526339868,0.7556379375696605,-9.297022372831377,-7.745261506432632,6.357864744329209,0.06912065113736827,0.035578310469322125,-48.52723479323875,-59.10921077146449,9.058191581916164
ETH,3.0,0.6666666666666666,at the money,0.7636040200579535,0.8330905526339868,0.7279915067934329,-12.615560878497734,-10.509904584055384,0.9995247206112187,3.0124042737286194,2.632520465122173,-12.610651628648862,-12.609564962434266,1.7192103834018146
