term,beta,se,t,n,n_clusters,spec,asset
wknd_life,0.08755678689308158,0.007938627033599753,11.029210280632007,21438,483,E. term_vega,BTC
wknd_hold,-0.08293495712089166,0.004716617491105527,-17.583566459923496,21438,483,E. term_vega,BTC
T_days,0.015254864799326364,0.0011568039490187135,13.187078771875447,21438,483,E. term_vega,BTC
hold_hours,-0.0013947418493796481,0.00010626962891392685,-13.124557445376235,21438,483,E. term_vega,BTC
wknd_life,0.0001790527739218287,0.0001517961647636675,1.1795605916697383,21438,483,E. term_volga,BTC
wknd_hold,-2.9714174675012722e-05,2.3707255852353808e-05,-1.2533789174111651,21438,483,E. term_volga,BTC
T_days,9.777550519652089e-05,3.219134873724696e-05,3.037322418348687,21438,483,E. term_volga,BTC
hold_hours,-7.507018640475889e-06,1.8709583886464587e-06,-4.012392090615562,21438,483,E. term_volga,BTC
wknd_life,0.0010632112754431105,0.0014861886513929767,0.715394559396334,21438,483,E. term_vanna,BTC
wknd_hold,-5.948926057914389e-05,0.000482194750747509,-0.12337185439476957,21438,483,E. term_vanna,BTC
T_days,0.000284716043154727,0.00029569285722555753,0.9628776488758491,21438,483,E. term_vanna,BTC
hold_hours,-1.0028096816884255e-05,1.9542743198989147e-05,-0.5131366008740759,21438,483,E. term_vanna,BTC
wknd_life,-0.05506616722584226,0.020536759543150405,-2.681346446606685,21438,483,E. residual,BTC
wknd_hold,0.020089849164845054,0.010461157462457904,1.9204231689410818,21438,483,E. residual,BTC
T_days,-0.013170692687253486,0.0026061207774821537,-5.053753763468346,21438,483,E. residual,BTC
hold_hours,0.0011438668037771003,0.0002582739221218588,4.4288900496791195,21438,483,E. residual,BTC
wknd_life,0.07232362932628449,0.009080261349104855,7.964928160731216,21438,483,F. + entry greeks,BTC
wknd_hold,-0.0296368716933897,0.005435315786965259,-5.452649460490147,21438,483,F. + entry greeks,BTC
hold_hours,6.430788755854162e-05,9.41472267723248e-05,0.6830566312277755,21438,483,F. + entry greeks,BTC
gamma_per_vega,-6.138929555039673e-05,4.916093851322854e-06,-12.487413260810246,21438,483,F. + entry greeks,BTC
volga_per_vega,0.02546146499466017,0.03390350229020418,0.7509980761491066,21438,483,F. + entry greeks,BTC
vanna_per_vega,-5.736005477826818e-05,0.0004941692312628513,-0.11607370744569495,21438,483,F. + entry greeks,BTC
wknd_life,0.019632987984653287,0.017330772589042736,1.1328397440900073,17938,387,A. within entry instant,ETH
T_days,0.006541693981024634,0.002039294687090254,3.207821813314573,17938,387,A. within entry instant,ETH
wknd_life,0.019621210652227,0.01733256270634724,1.1320432520369104,17938,387,A2. + moneyness,ETH
T_days,0.006558587597185067,0.002038738529466513,3.216983199361659,17938,387,A2. + moneyness,ETH
abs_delta,-0.1250098935316172,0.06659344381077668,-1.8772102233791834,17938,387,A2. + moneyness,ETH
wknd_hold,-0.054218944199534776,0.008053940161654657,-6.73197753041111,17938,387,B. within month,ETH
wknd_life,0.07863015147404169,0.012384575309189613,6.3490389868836665,17938,387,B. within month,ETH
T_days,0.010152483978444229,0.001400200393880234,7.250736410885926,17938,387,B. within month,ETH
wknd_hold,0.0949080269650853,0.006689465957945856,14.187683674860772,17938,387,C. change in the contract IV,ETH
wknd_life,-0.08864262208300455,0.010035162434955584,-8.833202517403684,17938,387,C. change in the contract IV,ETH
T_days,-0.010855249907643303,0.0010955123882572166,-9.908833550401246,17938,387,C. change in the contract IV,ETH
wknd_life,0.07809963168862707,0.012516399148982844,6.23978436281923,17938,387,D. + holding period,ETH
wknd_hold,-0.053432307667073325,0.008299272845705365,-6.43819147297019,17938,387,D. + holding period,ETH
T_days,0.009616352582055844,0.0016378221115308134,5.8714267650641165,17938,387,D. + holding period,ETH
