trade_no,asset,rehedge_min,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega,cum_net_per_vega
153,BTC,240,2023-11-03 12:25:23.440000+00:00,2023-11-05 00:00:00+00:00,BTC-5NOV23-34250-P,34250,P,2023-11-05 08:00:00+00:00,35.5768,0.734335,34291.3,35106.3,2.37658,0.45,0.4981,0.0481,415.66,11.0188,404.641,-271.341,16.7789,11.6648,8.44135,968.146,133.3,96.4151,0.137686,0.0995873,10.7262
154,BTC,240,2023-11-10 12:41:48.369000+00:00,2023-11-12 00:00:00+00:00,BTC-12NOV23-37000-C,37000,C,2023-11-12 08:00:00+00:00,35.3032,0.738975,37074.2,37019.8,-0.146819,0.5635,0.2499,-0.3136,627.884,121.661,506.223,25.1419,17.9464,22.2282,9.11715,1045.65,531.365,482.073,0.508165,0.461026,11.1872
155,BTC,240,2023-11-17 12:34:39.766000+00:00,2023-11-19 00:00:00+00:00,BTC-19NOV23-36500-P,36500,P,2023-11-19 08:00:00+00:00,35.4223,0.736949,36444.8,36554.4,0.300763,0.4031,0.3085,-0.0946,443.852,110.379,333.473,-157.837,21.2398,21.8998,8.97771,1029.66,175.636,123.519,0.170576,0.11996,11.3072
156,BTC,240,2023-11-24 12:41:31.196000+00:00,2023-11-26 00:00:00+00:00,BTC-26NOV23-37750-C,37750,C,2023-11-26 08:00:00+00:00,35.308,0.738893,37927.4,37787.7,-0.368375,0.4439,0.1772,-0.2667,568.875,100.954,467.922,-86.6236,16.471,22.7146,9.22384,1057.89,381.298,332.889,0.360432,0.314672,11.6218
157,BTC,240,2023-12-01 12:42:30.838000+00:00,2023-12-03 00:00:00+00:00,BTC-3DEC23-38500-P,38500,P,2023-12-03 08:00:00+00:00,35.2914,0.739176,38448.6,39453.2,2.61272,0.4091,0.4792,0.0701,471.159,10.605,460.554,-435.328,21.2218,12.8602,9.47372,1086.55,25.2253,-18.3304,0.023216,-0.0168703,11.605
158,BTC,240,2023-12-15 12:36:10.658000+00:00,2023-12-17 00:00:00+00:00,BTC-17DEC23-42500-P,42500,P,2023-12-17 08:00:00+00:00,35.397,0.737377,42749.3,42172.1,-1.35001,0.3444,0.3237,-0.0207,302.269,378.373,-76.1037,-77.8886,39.0429,25.4764,10.2098,1170.97,-153.992,-228.721,-0.131508,-0.195326,11.4096
159,BTC,240,2023-12-22 12:34:54.171000+00:00,2023-12-24 00:00:00+00:00,BTC-24DEC23-43500-P,43500,P,2023-12-24 08:00:00+00:00,35.4183,0.737017,43648.6,43774,0.287299,0.3481,0.2263,-0.1218,358.659,28.9922,329.667,-92.9113,22.1147,16.7186,10.6391,1220.21,236.755,187.283,0.194029,0.153484,11.5631
160,BTC,240,2024-01-05 12:42:26.435000+00:00,2024-01-07 00:00:00+00:00,BTC-7JAN24-44000-P,44000,P,2024-01-07 08:00:00+00:00,35.2927,0.739155,43938.8,43992.7,0.122766,0.694,0.2837,-0.4103,893.642,154.152,739.49,-94.4979,21.0211,26.3794,10.8318,1242.31,644.992,586.76,0.519189,0.472314,12.0354
161,BTC,240,2024-01-19 12:36:11.857000+00:00,2024-01-21 00:00:00+00:00,BTC-21JAN24-41500-P,41500,P,2024-01-21 08:00:00+00:00,35.3967,0.737383,41385.9,41703.8,0.768219,0.3745,0.2244,-0.1501,498.218,38.7942,459.424,-726.076,36.9734,17.265,10.1609,1165.36,-266.652,-331.051,-0.228815,-0.284077,11.7514
162,BTC,240,2024-02-09 12:38:42.506000+00:00,2024-02-11 00:00:00+00:00,BTC-11FEB24-47000-P,47000,P,2024-02-11 08:00:00+00:00,35.3549,0.738095,47345.4,47701.8,0.75275,0.3884,0.314,-0.0744,363.527,11.4158,352.111,-243.935,28.7133,15.6306,11.2237,1287.26,108.176,52.6082,0.0840358,0.0408684,11.7922
163,BTC,240,2024-02-23 12:12:02.441000+00:00,2024-02-25 00:00:00+00:00,BTC-25FEB24-50500-P,50500,P,2024-02-25 08:00:00+00:00,35.7993,0.730605,51030.1,51533.3,0.98617,0.4055,0.3954,-0.0101,354.969,11.2809,343.688,-188.809,27.8803,16.7191,11.714,1343.49,154.879,98.5661,0.115282,0.0733658,11.8656
164,BTC,240,2024-03-01 12:41:17.131000+00:00,2024-03-03 00:00:00+00:00,BTC-3MAR24-63000-C,63000,C,2024-03-03 08:00:00+00:00,35.3119,0.738827,62589,61911.5,-1.08247,0.5656,0.443,-0.1226,811.985,37.9145,774.071,-464.015,33.583,23.516,15.2721,1751.57,310.055,237.684,0.177015,0.135698,12.0013
165,BTC,240,2024-03-08 12:32:22.015000+00:00,2024-03-10 00:00:00+00:00,BTC-10MAR24-67500-P,67500,P,2024-03-10 08:00:00+00:00,35.4606,0.7363,67517.6,68505.9,1.46381,0.5519,0.3274,-0.2245,1044.61,19.9408,1024.66,-1035.48,45.6419,22.7479,16.6388,1908.32,-10.8169,-95.8455,-0.0056683,-0.050225,11.9511
166,BTC,240,2024-03-15 12:41:46.903000+00:00,2024-03-17 00:00:00+00:00,BTC-17MAR24-67500-C,67500,C,2024-03-17 08:00:00+00:00,35.3036,0.738968,67793.7,65360.1,-3.58981,0.7667,0.6965,-0.0702,1617.78,38.1973,1579.59,-1341.37,58.0059,25.1128,16.6171,1905.83,238.214,138.478,0.124992,0.0726602,12.0237
167,BTC,240,2024-03-22 12:10:54.867000+00:00,2024-03-24 00:00:00+00:00,BTC-24MAR24-65000-C,65000,C,2024-03-24 08:00:00+00:00,35.8181,0.730292,64567.9,64040.1,-0.817522,0.6017,0.4593,-0.1424,899.458,64.938,834.52,-359.49,37.4518,27.4876,15.7729,1809,475.03,394.318,0.262592,0.217975,12.2417
168,BTC,240,2024-03-29 12:29:28.197000+00:00,2024-03-31 00:00:00+00:00,BTC-31MAR24-70000-C,70000,C,2024-03-31 08:00:00+00:00,35.5088,0.735483,70150.7,69809.7,-0.486067,0.4591,0.2205,-0.2386,986.885,105.968,880.917,-238.294,33.8899,34.2912,17.2351,1976.71,642.623,557.207,0.325097,0.281886,12.5236
169,BTC,240,2024-04-19 12:42:11.669000+00:00,2024-04-21 00:00:00+00:00,BTC-21APR24-66000-C,66000,C,2024-04-21 08:00:00+00:00,35.2968,0.739085,65315.1,64918.6,-0.606953,0.6498,0.4503,-0.1995,894.514,48.554,845.96,-398.686,28.8205,25.6638,15.7716,1808.86,447.275,377.019,0.247269,0.208429,12.732
170,BTC,240,2024-04-26 12:43:24.868000+00:00,2024-04-28 00:00:00+00:00,BTC-28APR24-64500-P,64500,P,2024-04-28 08:00:00+00:00,35.2764,0.739433,64383.8,63430.1,-1.48125,0.3773,0.2812,-0.0961,747.078,1074.88,-327.806,331.001,34.849,38.3442,15.8488,1817.72,3.19481,-85.8472,0.00175759,-0.047228,12.6848
171,BTC,240,2024-05-17 12:37:19.532000+00:00,2024-05-19 00:00:00+00:00,BTC-19MAY24-67000-C,67000,C,2024-05-19 08:00:00+00:00,35.3779,0.737703,66371.9,66992.7,0.935393,0.4269,0.2219,-0.205,529.51,175.62,353.89,168.133,27.9654,40.0094,15.6599,1796.05,522.023,438.388,0.29065,0.244085,12.9289
172,BTC,240,2024-06-14 12:33:58.764000+00:00,2024-06-16 00:00:00+00:00,BTC-16JUN24-66500-C,66500,C,2024-06-16 08:00:00+00:00,35.4337,0.736755,67113.7,66184.9,-1.38399,0.3646,0.2593,-0.1053,1038.59,86.8081,951.787,-918.163,46.066,30.9851,15.4593,1773.04,33.6231,-58.8872,0.0189635,-0.0332126,12.8957
173,BTC,240,2024-06-21 12:19:42.183000+00:00,2024-06-23 00:00:00+00:00,BTC-23JUN24-63500-P,63500,P,2024-06-23 08:00:00+00:00,35.6716,0.732741,63544.3,64253,1.11533,0.3673,0.3167,-0.0506,637.754,32.1229,605.631,-387.336,31.0799,23.0786,15.6527,1795.22,218.296,148.485,0.121599,0.0827112,12.9784
174,BTC,240,2024-07-05 12:38:42.066000+00:00,2024-07-07 00:00:00+00:00,BTC-7JUL24-54500-P,54500,P,2024-07-07 08:00:00+00:00,35.355,0.738093,55226.1,58154.3,5.30213,0.5278,0.9427,0.4149,506.316,6.25988,500.056,-544.976,23.5769,17.3503,12.7017,1456.78,-44.9205,-98.5495,-0.0308356,-0.0676491,12.9107
