asset,entry_hour,exit,n,gross_per_vega,net_per_vega,t,sharpe,hit_rate,median,worst,mean_hold_hours,mean_iv_change,cost_per_vega,rehedge_minutes
ETH,0,sat_00,139,0.0627724419336652,-0.049285644715893945,-3.0525394769579166,-1.867048333053417,0.35251798561151076,-0.036069339660482744,-0.9262134600086469,23.629434612310153,-0.040090652026718465,0.11205808664955913,5.0
ETH,0,sat_12,79,0.0881373121416676,-0.01742046902236039,-1.2885056123655096,-1.0453806107247792,0.46835443037974683,-0.014589020332790824,-0.5081522624247827,35.6028252742616,-0.14474683677093889,0.10555778116402796,5.0
ETH,0,sun_00,69,0.04530668694902244,-0.08320921167448199,-3.919237883103602,-3.4023481456416453,0.2898550724637681,-0.05319639368553494,-0.6621097488681239,47.5790775925926,-0.04813188317893207,0.1285158986235044,5.0
ETH,0,mon_00,23,0.05755475187987398,-0.07481989876205192,-2.1896434959577777,-3.292389176427371,0.30434782608695654,-0.03622888769728571,-0.6194591171417368,71.650297705314,0.14945651676343832,0.1323746506419259,5.0
ETH,6,sat_00,158,0.026332092208116224,-0.08375721345133529,-4.596329320374574,-2.6368429621465213,0.3227848101265823,-0.06250452525690342,-1.1481632208445747,17.527230578410688,-0.016725317556646812,0.11008930565945152,5.0
ETH,6,sat_12,79,0.06471599941215449,-0.0382914494098494,-2.0418083168583965,-1.6565444533390834,0.45569620253164556,-0.007764493682255913,-0.6626555011674137,29.614141068917025,-0.14489114362982256,0.10300744882200388,5.0
ETH,6,sun_00,62,0.057221594910846475,-0.06728840438424695,-2.9966710980957885,-2.7443841745564237,0.3870967741935484,-0.031095002069616462,-0.6710660976309335,41.63305077956989,-0.04015806474993306,0.12450999929509342,5.0
ETH,6,mon_00,25,-0.0033309316873352235,-0.13343839624711973,-3.096659180001666,-4.4660653824529115,0.24,-0.10397181737325392,-0.6927237412788186,65.67309502222223,0.21288799972534178,0.13010746455978453,5.0
ETH,12,sat_00,185,0.016809482497864108,-0.06000098982777492,-5.24924199105414,-2.7829948451395805,0.31351351351351353,-0.03608768459706652,-0.7603647646097507,11.485491315315315,-0.04172756823977909,0.07681047232563906,5.0
ETH,12,sat_12,198,0.07025436330989816,-0.026502129799720157,-2.4404002978675274,-1.2506337543305828,0.46464646464646464,-0.009525543067063321,-0.5569182613021962,23.489382564534232,-0.0999797972765836,0.09675649310961833,5.0
