weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2025-01-18 00:00:00+00:00,219.54,252.58,294.5,217.58,15.0496,35.3525,2.58599,0.917954,2.81713,0.766415,0.849463,-1.81958,0.902234
2025-01-25 00:00:00+00:00,253.75,240.76,260.78,240.76,-5.11921,8.31533,0.709369,1.58255,0.448243,0.963298,1.52214,0.253929,0.632857
2025-02-01 00:00:00+00:00,230.96,203.18,233.88,196.74,-12.0281,18.8777,1.17383,0.993711,1.18126,0.621216,1.01904,-0.552613,0.609609
2025-02-08 00:00:00+00:00,191.53,200.46,207.23,189.97,4.66245,9.08565,0.720032,1.48236,0.485732,0.73014,1.03205,0.0101076,0.707466
2025-02-15 00:00:00+00:00,198.64,188.43,200.14,186.42,-5.13995,7.35973,0.514802,0.831019,0.619483,0.550328,0.782941,0.035526,0.702899
2025-02-22 00:00:00+00:00,168.25,167.89,174.52,166.5,-0.213967,4.81682,0.515635,0.966658,0.533421,0.659537,0.947478,0.143902,0.696098
2025-03-01 00:00:00+00:00,147.18,178.63,179.03,138.62,21.3684,29.1516,1.87496,1.53675,1.22008,1.05151,1.17002,-0.82345,0.898709
2025-03-08 00:00:00+00:00,139.48,126.49,140.95,125.85,-9.31316,11.9984,0.86358,1.52003,0.568134,1.24948,1.36604,0.385895,0.914673
2025-03-15 00:00:00+00:00,133.44,126.11,136.37,125.36,-5.49311,8.78271,0.687094,1.14376,0.600734,0.782389,1.21189,0.0952945,0.645596
2025-03-22 00:00:00+00:00,128.32,132.85,133.74,127.94,3.53024,4.53338,0.458219,0.770442,0.594748,0.620952,0.917018,0.162733,0.677142
2025-03-29 00:00:00+00:00,129.64,124.68,130.44,123.02,-3.82598,6.03154,0.688735,0.698185,0.986466,0.70378,0.805058,0.0150447,0.874198
2025-04-05 00:00:00+00:00,122.58,105.85,122.69,103.99,-13.6482,17.9825,0.809636,1.03034,0.785793,0.87341,0.946357,0.0637742,0.922918
2025-04-12 00:00:00+00:00,121.25,128.26,133.72,119.69,5.78144,11.7219,0.938603,1.39035,0.675084,0.815852,1.23537,-0.122752,0.660409
2025-04-19 00:00:00+00:00,134.08,137.87,141.85,133.84,2.82667,5.98476,0.534053,0.884192,0.604001,0.589949,0.949233,0.0558961,0.621501
2025-04-26 00:00:00+00:00,151.52,148.28,152.92,145.77,-2.13833,4.90499,0.530731,0.789691,0.672074,0.672403,0.864955,0.141671,0.777385
2025-05-03 00:00:00+00:00,148.3,144.08,149,143.7,-2.84558,3.68824,0.443405,0.613398,0.722868,0.53792,0.724278,0.0945144,0.742698
2025-05-10 00:00:00+00:00,173.36,173.22,179.98,169.07,-0.0807568,6.45295,0.846492,0.781087,1.08374,0.802844,0.672342,-0.0436481,1.1941
2025-05-17 00:00:00+00:00,167.74,173.34,176.28,164.35,3.3385,7.2589,0.723171,0.909432,0.79519,0.642339,0.803815,-0.0808311,0.799113
2025-05-24 00:00:00+00:00,173.6,176.07,178.2,169.4,1.42281,5.19481,0.625145,0.889584,0.702739,0.668733,0.785619,0.0435876,0.851218
2025-05-31 00:00:00+00:00,156.14,157.8,157.95,150.89,1.06315,4.67891,0.7098,0.645671,1.09932,0.653096,0.747289,-0.0567034,0.873954
2025-06-07 00:00:00+00:00,147.81,152.28,155.03,147.18,3.02415,5.33361,0.457622,0.68517,0.667895,0.604029,0.710913,0.146407,0.849651
2025-06-14 00:00:00+00:00,148.64,152.99,153.23,142.27,2.92653,7.70366,0.621148,0.821714,0.755918,0.690246,0.799826,0.0690985,0.862996
2025-06-21 00:00:00+00:00,140,131.87,142.53,126.75,-5.80714,12.4497,1.06994,0.743529,1.439,0.631012,0.776693,-0.438926,0.812434
2025-06-28 00:00:00+00:00,142.06,153.41,154.39,141.26,7.98958,9.29492,0.489674,0.745145,0.657153,0.592476,0.841409,0.102802,0.704148
2025-07-05 00:00:00+00:00,147.76,151.91,153.42,145.99,2.80861,5.08939,0.419515,0.645117,0.650294,0.44746,0.648147,0.0279449,0.690369
2025-07-12 00:00:00+00:00,163.17,161.33,164.19,158.2,-1.12766,3.78635,0.49535,0.601649,0.82332,0.580132,0.614912,0.0847824,0.94344
2025-07-19 00:00:00+00:00,177.43,181.76,183.41,174.16,2.4404,5.31121,0.628349,0.796591,0.788797,0.708688,0.762631,0.0803394,0.929268
2025-07-26 00:00:00+00:00,187,188.82,190.7,184.68,0.973262,3.25969,0.510204,0.984809,0.518075,0.594606,0.898203,0.0844015,0.661995
2025-08-02 00:00:00+00:00,162.83,161.87,165.18,156.12,-0.589572,5.80323,0.64828,0.775755,0.835676,0.609089,0.749243,-0.0391906,0.81294
2025-08-09 00:00:00+00:00,176.86,183.07,186.19,176.86,3.51125,5.27536,0.648207,0.646199,1.00311,0.560624,0.730245,-0.0875828,0.767721
2025-08-16 00:00:00+00:00,186.08,191.25,195.58,185.65,2.77837,5.34877,0.532881,1.08993,0.488912,0.72549,0.837485,0.19261,0.866273
2025-08-23 00:00:00+00:00,200.25,206.16,211.91,195.56,2.95131,8.36061,0.812845,0.804289,1.01064,0.758715,0.795668,-0.0541303,0.953557
2025-08-30 00:00:00+00:00,204.54,200.68,206.84,198.13,-1.88716,4.3961,0.552664,0.987774,0.559504,0.789768,0.89907,0.237104,0.878428
2025-09-06 00:00:00+00:00,203.62,206.54,207.96,199.64,1.43404,4.1675,0.358215,0.65885,0.543697,0.716339,0.750617,0.358124,0.954333
2025-09-13 00:00:00+00:00,241.97,240,249.44,236.28,-0.814151,5.56966,0.62232,0.636826,0.977221,0.600028,0.736821,-0.0222916,0.814347
2025-09-20 00:00:00+00:00,238.8,236.28,241.92,235.81,-1.05528,2.59107,0.343886,0.639772,0.537514,0.491328,0.706882,0.147441,0.695063
2025-09-27 00:00:00+00:00,204.96,210.97,210.97,198.23,2.93228,6.42688,0.469406,0.879976,0.53343,0.509831,0.844563,0.0404245,0.603662
2025-10-04 00:00:00+00:00,233.31,228.68,236.83,224.74,-1.98448,5.37955,0.549909,0.636296,0.864234,0.548316,0.680129,-0.00159286,0.806193
