weekend_sat,px_open,px_close,px_high,px_low,ret_pct,range_pct,rv_vol_ann,wd_vol_ann,vol_ratio,iv_weekend,iv_weekday,iv_minus_rv,iv_wknd_ratio
2025-04-05 00:00:00+00:00,2.1299,1.9192,2.17,1.8673,-9.89248,16.2106,0.85039,1.04751,0.811818,0.955557,1.06933,0.105166,0.893602
2025-04-12 00:00:00+00:00,2.0182,2.1158,2.2311,2.0064,4.83599,11.1992,0.897603,1.66449,0.539267,0.86662,1.35337,-0.0309828,0.640342
2025-04-19 00:00:00+00:00,2.0621,2.0747,2.0957,2.0393,0.611028,2.76565,0.379842,0.70655,0.537601,0.594602,0.968468,0.21476,0.613961
2025-04-26 00:00:00+00:00,2.1888,2.2579,2.294,2.1639,3.15698,6.01229,0.609587,0.698086,0.873226,0.669215,0.858616,0.0596276,0.779411
2025-05-03 00:00:00+00:00,2.2106,2.1584,2.221,2.1512,-2.36135,3.2447,0.411806,0.580619,0.709253,0.610482,0.812789,0.198676,0.751096
2025-05-10 00:00:00+00:00,2.3473,2.3653,2.4776,2.3328,0.766838,6.20713,0.808352,0.741437,1.09025,0.817254,0.697637,0.00890159,1.17146
2025-05-17 00:00:00+00:00,2.3771,2.4314,2.4432,2.3025,2.2843,6.11075,0.68329,1.00845,0.677564,0.579255,0.903798,-0.104035,0.640912
2025-05-24 00:00:00+00:00,2.2913,2.344,2.3612,2.2669,2.3,4.15987,0.446676,0.677492,0.659307,0.647201,0.745197,0.200526,0.868497
2025-05-31 00:00:00+00:00,2.1313,2.18,2.2051,2.0829,2.28499,5.86682,0.640481,0.58758,1.09003,0.636827,0.720829,-0.00365402,0.883464
2025-06-07 00:00:00+00:00,2.163,2.2655,2.2932,2.152,4.73879,6.56134,0.39774,0.532592,0.7468,0.534953,0.713327,0.137213,0.749942
2025-06-14 00:00:00+00:00,2.1463,2.1662,2.1787,2.1127,0.927177,3.12396,0.37826,0.616756,0.613307,0.704148,0.731647,0.325888,0.962415
2025-06-21 00:00:00+00:00,2.1199,2.0167,2.1453,1.9132,-4.86815,12.1315,0.876374,0.597344,1.46712,0.576218,0.69252,-0.300156,0.832059
2025-06-28 00:00:00+00:00,2.1383,2.2077,2.2184,2.1375,3.24557,3.7848,0.358943,0.672626,0.533645,0.566332,0.745083,0.207389,0.760093
2025-07-05 00:00:00+00:00,2.2192,2.2723,2.2908,2.2057,2.39275,3.85819,0.360188,0.580691,0.620275,0.448304,0.603677,0.0881162,0.742623
2025-07-12 00:00:00+00:00,2.7406,2.836,2.8932,2.6711,3.48099,8.31493,0.94932,0.909491,1.04379,0.81147,0.636856,-0.13785,1.27418
2025-07-19 00:00:00+00:00,3.4403,3.464,3.5611,3.3623,0.688893,5.91262,0.750405,1.11205,0.674791,0.949892,0.899175,0.199488,1.0564
2025-07-26 00:00:00+00:00,3.1371,3.2433,3.255,3.1151,3.38529,4.49103,0.555846,1.0458,0.531503,0.669759,0.8863,0.113912,0.755679
2025-08-02 00:00:00+00:00,2.9576,2.9511,3.0194,2.7432,-0.219773,10.0685,0.753677,0.803583,0.937895,0.596402,0.802447,-0.157274,0.74323
2025-08-09 00:00:00+00:00,3.2867,3.1921,3.3483,3.1565,-2.87827,6.07635,0.59031,0.750232,0.786837,0.704636,0.690363,0.114325,1.02067
2025-08-16 00:00:00+00:00,3.0825,3.0938,3.1564,3.0747,0.366586,2.65717,0.363876,0.865599,0.420375,0.660955,0.805954,0.297078,0.82009
