f_iv,f_iv_premium,f_wd_vol,f_friday_move_abs,f_funding_abs,f_wknd_frac,f_dvol_chg,f_T_days,entry_ts,exit_ts,instrument,strike,cp,expiry,hold_hours,wknd_frac,index_in,index_out,index_move_pct,iv_in,iv_out,iv_change,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,option_fees,spread_cost,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
0.5519,0.734583,0.751311,0.934892,0.000243791,0.790371,,1.68697,2024-11-29 15:30:45.729000+00:00,2024-12-01 00:00:00+00:00,ETH-1DEC24-3600-P,3600,P,2024-12-01 08:00:00+00:00,32.4873,0.790371,3626.06,3720.21,2.59627,0.5519,0.5999,0.048,44.2991,0.919393,43.3797,-47.3222,9.95418,1.20274,1.3562,100.412,-3.94246,-16.4556,-0.039263,-0.163881
0.5752,0.608037,0.945994,0.136319,8.17768e-05,0.798855,,1.66906,2024-12-13 15:56:33.565000+00:00,2024-12-15 00:00:00+00:00,ETH-15DEC24-3850-P,3850,P,2024-12-15 08:00:00+00:00,32.0573,0.798855,3888.08,3872.37,-0.404077,0.5752,0.4243,-0.1509,45.7027,10.5489,35.1539,-12.0387,10.6087,2.32813,1.43475,106.227,23.1151,8.74356,0.217602,0.0823104
0.5004,1.03552,0.483234,3.23071,0.000112232,0.797514,,1.67186,2025-01-03 15:52:31.071000+00:00,2025-01-05 00:00:00+00:00,ETH-5JAN25-3600-C,3600,C,2025-01-05 08:00:00+00:00,32.1247,0.797514,3567.07,3670.3,2.89406,0.5004,0.4771,-0.0233,35.9251,72.4864,-36.5613,35.5982,9.64726,2.17121,1.32308,97.9588,-0.963046,-14.1046,-0.00983114,-0.143985
0.5594,0.731705,0.764516,3.19186,5.56094e-05,0.788003,2.66833,1.69204,2025-01-17 15:23:27.704000+00:00,2025-01-19 00:00:00+00:00,ETH-19JAN25-3475-C,3475,C,2025-01-19 08:00:00+00:00,32.609,0.788003,3426.11,3309.23,-3.41131,0.5594,0.7209,0.1615,33.5739,0.318646,33.2553,-37.2808,6.40345,1.06766,1.23589,91.5038,-4.02559,-12.7326,-0.0439937,-0.139148
0.5072,0.786173,0.645151,0.939404,5.52638e-06,0.799873,,1.66693,2025-02-21 15:59:37.126000+00:00,2025-02-23 00:00:00+00:00,ETH-23FEB25-2750-P,2750,P,2025-02-23 08:00:00+00:00,32.0064,0.799873,2721.26,2759.29,1.39748,0.5072,0.4055,-0.1017,55.2595,9.32734,45.9321,-50.3483,9.08281,1.64417,1.00084,74.1006,-4.4162,-16.144,-0.0595973,-0.217866
0.8591,0.735336,1.16831,4.41972,1.33048e-05,0.790546,,1.6866,2025-02-28 15:31:17.842000+00:00,2025-03-02 00:00:00+00:00,ETH-2MAR25-2250-C,2250,C,2025-03-02 08:00:00+00:00,32.4784,0.790546,2226.17,2204.38,-0.978717,0.8591,0.5142,-0.3449,43.2679,1.51554,41.7523,-17.2118,6.38154,0.857293,0.841305,62.2891,24.5405,16.4604,0.393978,0.264258
0.5645,0.52447,1.07632,3.16083,5.01704e-05,0.796643,,1.67369,2025-03-14 15:49:53.137000+00:00,2025-03-16 00:00:00+00:00,ETH-16MAR25-1950-C,1950,C,2025-03-16 08:00:00+00:00,32.1686,0.796643,1926.79,1937.2,0.540106,0.5645,0.3369,-0.2276,20.707,3.09037,17.6166,-2.31048,4.78121,0.964334,0.707664,52.3945,15.3062,8.85295,0.292133,0.168967
0.4363,0.784072,0.556454,1.79592,6.24437e-06,0.79744,,1.67202,2025-03-21 15:52:17.794000+00:00,2025-03-23 00:00:00+00:00,ETH-23MAR25-1950-P,1950,P,2025-03-23 08:00:00+00:00,32.1284,0.79744,1951.04,1976.77,1.31905,0.4363,0.3355,-0.1008,23.5447,0.822925,22.7217,-17.6944,4.01627,0.688177,0.744663,55.1338,5.02733,-0.421777,0.0911842,-0.00765006
0.6784,0.906561,0.748322,1.24169,4.88907e-05,0.795856,,1.67535,2025-04-04 15:47:30.147000+00:00,2025-04-06 00:00:00+00:00,ETH-6APR25-1775-P,1775,P,2025-04-06 08:00:00+00:00,32.2083,0.795856,1797.58,1807.58,0.555985,0.6784,0.5559,-0.1225,24.1447,2.13652,22.0081,-7.34299,3.76941,0.806341,0.658761,48.7737,14.6651,9.43062,0.300677,0.193354
0.6605,0.517371,1.27665,2.93721,6.1396e-05,0.794573,1.02833,1.67805,2025-04-11 15:43:36.447000+00:00,2025-04-13 00:00:00+00:00,ETH-13APR25-1575-C,1575,C,2025-04-13 08:00:00+00:00,32.2732,0.794573,1565.31,1638.38,4.66796,0.6605,0.6943,0.0338,24.7311,63.7746,-39.0435,43.4859,3.70377,0.961109,0.594261,43.9983,4.44242,-0.816712,0.100968,-0.0185624
0.3804,0.560978,0.678101,0.0822186,2.37785e-05,0.783387,-8.54333,1.70201,2025-04-18 15:09:06.176000+00:00,2025-04-20 00:00:00+00:00,ETH-20APR25-1600-C,1600,C,2025-04-20 08:00:00+00:00,32.8483,0.783387,1584.03,1609.26,1.59286,0.3804,0.373,-0.00740002,10.3096,12.7737,-2.46408,6.55912,4.6408,0.957989,0.567247,41.9982,4.09504,-2.071,0.0975052,-0.0493116
0.5693,0.718516,0.792328,2.03822,3.64662e-06,0.799465,1.03667,1.66778,2025-04-25 15:58:23.672000+00:00,2025-04-27 00:00:00+00:00,ETH-27APR25-1800-P,1800,P,2025-04-27 08:00:00+00:00,32.0268,0.799465,1808.88,1822.55,0.756075,0.5693,0.4679,-0.1014,24.8194,2.66453,22.1549,-16.7547,6.12917,0.87573,0.683832,50.63,5.40016,-2.28857,0.106659,-0.0452019
0.4174,0.756298,0.551899,0.0923311,4.12893e-06,0.796156,-4.32,1.67471,2025-05-02 15:48:24.796000+00:00,2025-05-04 00:00:00+00:00,ETH-4MAY25-1825-P,1825,P,2025-05-04 08:00:00+00:00,32.1931,0.796156,1841.2,1832.19,-0.489341,0.4174,0.3631,-0.0543,14.492,4.91935,9.57267,-6.80011,5.50066,1.10201,0.669403,49.5617,2.77256,-4.49952,0.0559416,-0.0907861
0.8753,0.957064,0.914568,4.28708,2.86534e-06,0.798674,7.17833,1.66943,2025-05-09 15:56:00.966000+00:00,2025-05-11 00:00:00+00:00,ETH-11MAY25-2300-P,2300,P,2025-05-11 08:00:00+00:00,32.0664,0.798674,2305.82,2582.21,11.9866,0.8753,1.9462,1.0709,54.1211,1.32551,52.7956,-51.3675,4.48363,0.857435,0.87828,65.0267,1.42813,-4.79121,0.0219622,-0.0736807
0.637,0.731513,0.870798,3.18202,2.90323e-05,0.798868,,1.66903,2025-05-23 15:56:35.997000+00:00,2025-05-25 00:00:00+00:00,ETH-25MAY25-2600-C,2600,C,2025-05-25 08:00:00+00:00,32.0567,0.798868,2568.59,2525.31,-1.68515,0.637,0.5862,-0.0508,32.5126,0.947084,31.5656,-19.7231,5.93212,0.888963,0.951509,70.4484,11.8424,4.06984,0.168101,0.0577705
0.6181,0.80919,0.76385,2.03519,3.79959e-05,0.792127,,1.68323,2025-06-13 15:36:08.703000+00:00,2025-06-15 00:00:00+00:00,ETH-15JUN25-2550-C,2550,C,2025-06-15 08:00:00+00:00,32.3976,0.792127,2551.39,2537.71,-0.536087,0.6181,0.3897,-0.2284,45.2695,6.7982,38.4713,-22.8832,7.20767,1.52673,0.973748,72.095,15.5882,5.88001,0.216217,0.0815593
0.565,0.914775,0.617638,0.201504,4.03056e-05,0.798893,5.30167,1.66898,2025-07-11 15:56:40.375000+00:00,2025-07-13 00:00:00+00:00,ETH-13JUL25-2925-P,2925,P,2025-07-13 08:00:00+00:00,32.0555,0.798893,2943.82,2943.34,-0.0161471,0.565,0.3645,-0.2005,38.0644,5.74533,32.3191,-13.1633,8.95884,1.60131,1.10608,81.893,19.1557,7.48951,0.233912,0.0914549
0.5952,0.777899,0.765138,2.27494,7.49225e-05,0.797765,-0.146667,1.67134,2025-07-18 15:53:16.588000+00:00,2025-07-20 00:00:00+00:00,ETH-20JUL25-3550-P,3550,P,2025-07-20 08:00:00+00:00,32.1121,0.797765,3565.1,3585.87,0.582572,0.5952,0.422,-0.1732,52.6164,5.5827,47.0337,-39.911,13.2571,1.76737,1.35139,100.055,7.12265,-9.25323,0.0711873,-0.0924814
