entry_ts,exit_ts,instrument,cp,strike,expiry,hold_hours,wknd_frac,closed_frac,iv_in,iv_out,iv_change,index_in,index_out,index_move_pct,premium_in,premium_out,option_pnl,hedge_pnl,perp_fees,vega_usd,gross_usd,net_usd,gross_per_vega,net_per_vega
2019-04-05 12:43:32.709000+00:00,2019-04-07 00:00:00+00:00,BTC-12APR19-5000-C,C,5000,2019-04-12 08:00:00+00:00,35.2742,0.293984,0.318483,0.8263,0.761,-0.0653,5025.87,5038.57,0.252786,239.152,204.062,35.0903,-16.9999,2.24006,272.913,18.0904,10.4515,0.0662863,0.0382959
2019-04-26 12:07:59.523000+00:00,2019-04-28 00:00:00+00:00,BTC-3MAY19-5125-C,C,5125,2019-05-03 08:00:00+00:00,35.8668,0.292921,0.317331,0.564,0.4453,-0.1187,5133.18,5161.38,0.549428,161.989,129.574,32.415,12.9665,2.09815,279.707,45.3816,37.7563,0.162247,0.134985
2019-05-03 12:40:37.791000+00:00,2019-05-05 00:00:00+00:00,BTC-10MAY19-5750-C,C,5750,2019-05-10 08:00:00+00:00,35.3228,0.293896,0.318388,0.6364,0.6109,-0.0255,5738.38,5771.65,0.579738,193.724,180.718,13.0061,12.567,2.54388,313.17,25.5732,16.8457,0.0816591,0.053791
2019-05-10 12:19:34.244000+00:00,2019-05-12 00:00:00+00:00,BTC-17MAY19-6250-P,P,6250,2019-05-17 08:00:00+00:00,35.6738,0.293266,0.317705,0.7055,1.116,0.4105,6245.31,7248.5,16.0632,242.859,62.3759,180.483,-259.379,3.07682,340.626,-78.8956,-88.9905,-0.231619,-0.261256
2019-06-07 12:17:17.934000+00:00,2019-06-09 00:00:00+00:00,BTC-14JUN19-8000-P,P,8000,2019-06-14 08:00:00+00:00,35.7117,0.293198,0.317632,0.6333,0.6906,0.0573,7920.98,7956.6,0.449672,316.415,287.894,28.5216,-17.1371,3.36064,431.278,11.3845,-0.49976,0.0263972,-0.00115879
2019-06-14 12:43:39.544000+00:00,2019-06-16 00:00:00+00:00,BTC-21JUN19-8500-C,C,8500,2019-06-21 08:00:00+00:00,35.2723,0.293987,0.318486,0.6367,0.7314,0.0947,8347.58,8856.17,6.09263,222.75,516.44,-293.69,259.243,3.46836,449.562,-34.4469,-46.9962,-0.0766233,-0.104538
2019-07-12 11:54:45.949000+00:00,2019-07-14 00:00:00+00:00,BTC-19JUL19-12000-C,C,12000,2019-07-19 08:00:00+00:00,36.0872,0.292527,0.316905,1.0071,1.102,0.0949,11719.7,11394.3,-2.77639,520.86,364.609,156.252,-174.953,5.05844,636.371,-18.7011,-36.2423,-0.0293871,-0.0569516
2019-07-19 12:32:04.514000+00:00,2019-07-21 00:00:00+00:00,BTC-26JUL19-10000-P,P,10000,2019-07-26 08:00:00+00:00,35.4654,0.29364,0.31811,1.3318,1.3349,0.00310013,10499.2,10713.3,2.03888,520.839,368.984,151.855,-85.0091,2.90197,537.449,66.8457,52.8939,0.124376,0.0984167
2019-08-02 12:22:51.262000+00:00,2019-08-04 00:00:00+00:00,BTC-9AUG19-10500-C,C,10500,2019-08-09 08:00:00+00:00,35.6191,0.293364,0.317811,0.9401,0.9356,-0.00450005,10522.5,10894.8,3.53794,550.373,705.243,-154.87,164.023,3.89629,572.501,9.15301,-6.16018,0.0159878,-0.0107601
2019-08-09 12:43:21.007000+00:00,2019-08-11 00:00:00+00:00,BTC-16AUG19-12000-C,C,12000,2019-08-16 08:00:00+00:00,35.2775,0.293978,0.318476,0.9709,0.8998,-0.0710999,11779.5,11339.3,-3.73727,525.54,242.772,282.767,-220.971,4.24028,641.276,61.7963,45.0291,0.0963646,0.0702179
2019-09-06 12:42:57.909000+00:00,2019-09-08 00:00:00+00:00,BTC-13SEP19-11000-C,C,11000,2019-09-13 08:00:00+00:00,35.2839,0.293966,0.318464,0.7362,0.7312,-0.005,10918.3,10530.6,-3.55122,400.592,190.014,210.578,-231.325,4.36221,595.821,-20.7466,-36.7385,-0.0348202,-0.0616603
2019-09-13 12:02:54.263000+00:00,2019-09-15 00:00:00+00:00,BTC-20SEP19-10500-C,C,10500,2019-09-20 08:00:00+00:00,35.9516,0.292769,0.317167,0.6021,0.5558,-0.0463,10358.1,10387.9,0.287321,276.397,227.392,49.0053,4.27076,3.53293,561.084,53.276,38.6271,0.094952,0.0688438
2019-09-20 12:06:20.115000+00:00,2019-09-22 00:00:00+00:00,BTC-27SEP19-10250-C,C,10250,2019-09-27 08:00:00+00:00,35.8944,0.292871,0.317277,0.58,0.6038,0.0238,10204.3,9983.74,-2.16132,301.362,180.32,121.042,-87.6953,3.17111,556.933,33.347,19.2636,0.0598763,0.0345887
2019-10-04 12:40:47.998000+00:00,2019-10-06 00:00:00+00:00,BTC-11OCT19-8250-P,P,8250,2019-10-11 08:00:00+00:00,35.32,0.293902,0.318393,0.6341,0.6471,0.013,8137.74,8134.36,-0.0416368,343.178,317.549,25.6292,-19.9914,2.9715,441.302,5.63783,-6.06305,0.0127754,-0.013739
2019-10-11 12:42:01.391000+00:00,2019-10-13 00:00:00+00:00,BTC-18OCT19-8250-P,P,8250,2019-10-18 08:00:00+00:00,35.2996,0.293938,0.318433,0.5933,0.5769,-0.0164,8349.98,8314.03,-0.430605,221.687,199.761,21.9259,23.1976,2.27951,447.724,45.1235,33.941,0.100784,0.075808
2019-10-18 12:41:10.178000+00:00,2019-10-20 00:00:00+00:00,BTC-25OCT19-8000-C,C,8000,2019-10-25 08:00:00+00:00,35.3138,0.293913,0.318405,0.549,0.473,-0.076,7950.63,7953.69,0.0384624,215.07,159.707,55.3632,10.9222,2.50001,433.555,66.2854,55.2339,0.152888,0.127397
2019-11-01 12:34:25.960000+00:00,2019-11-03 00:00:00+00:00,BTC-8NOV19-9250-C,C,9250,2019-11-08 08:00:00+00:00,35.4261,0.293711,0.318187,0.5841,0.5647,-0.0194,9185.01,9335.2,1.63516,262.456,297.886,-35.4295,73.6809,3.19127,500.788,38.2513,25.1376,0.0763823,0.0501961
2019-11-22 12:44:58.089000+00:00,2019-11-24 00:00:00+00:00,BTC-29NOV19-7250-P,P,7250,2019-11-29 08:00:00+00:00,35.2505,0.294027,0.312403,0.9819,0.5641,-0.4178,7125.17,7327.9,2.84515,450.569,161.724,288.845,-129.926,3.19082,388.185,158.919,148.008,0.40939,0.381281
2019-11-29 12:32:49.974000+00:00,2019-12-01 00:00:00+00:00,BTC-6DEC19-7500-C,C,7500,2019-12-06 08:00:00+00:00,35.4528,0.293663,0.312017,0.5438,0.5717,0.0279,7584.27,7516.83,-0.889319,268.483,215.485,52.9978,-37.9557,3.60727,406.79,15.0421,3.35768,0.0369776,0.0082541
2019-12-13 12:44:39.302000+00:00,2019-12-15 00:00:00+00:00,BTC-20DEC19-7250-C,C,7250,2019-12-20 08:00:00+00:00,35.2557,0.294017,0.312393,0.4717,0.4599,-0.0118,7220.28,7039.49,-2.50389,171.776,74.9238,96.8526,-78.654,2.98471,393.931,18.1986,7.50124,0.0461974,0.019042
2019-12-20 12:37:56.907000+00:00,2019-12-22 00:00:00+00:00,BTC-27DEC19-7250-P,P,7250,2019-12-27 08:00:00+00:00,35.3675,0.293816,0.31218,0.5407,0.5058,-0.0349,7158.7,7142,-0.233288,261.347,234.757,26.5896,10.7472,2.48575,387.254,37.3368,27.1843,0.0964141,0.0701976
2019-12-27 12:43:46.910000+00:00,2019-12-29 00:00:00+00:00,BTC-3JAN20-7250-C,C,7250,2020-01-03 08:00:00+00:00,35.2703,0.293991,0.312365,0.509,0.4573,-0.0517,7113.8,7300.7,2.62734,138.752,187.047,-48.2955,81.6868,2.32815,377.515,33.3913,23.4472,0.0884502,0.0621093
