currency,year,n,wknd_frac_mean,eff_time_frac,vol_cut_pct,vol_cut_points,elasticity,price_cut_pct,price_cut_pct_mean,price_gap_pct,tv_usd_m,tv_flat_usd_m,tv_fair_usd_m,discount_usd_m,gap_usd_m,prem_paid_usd_m,implied_ratio,implied_ratio_se,realized_ratio,usable
ETH,2020,233730,0.1997090459771175,1.0002504351436554,0.012520351218632849,0.010489984977119914,1.812667117568724,0.022775791800300205,0.022775791800293977,5.923028682111919,46.82233816457286,46.81167643460989,44.20411571226166,-0.010661729962974787,2.618222452311203,62.020436158853634,1.001254,0.051797,0.696382,True
ETH,2021,1141184,0.20902394307546113,0.9901746205317946,-0.4935003186256682,-0.5644574925206867,1.7849889500066982,-0.8770982749895628,-0.8770982749895369,6.916261240434718,769.5433960921168,776.3527728708002,719.7627256732793,6.809376778683424,49.780670418837545,907.9644254495471,0.952994,0.0791,0.614759,True
ETH,2022,1846036,0.215255713105359,0.902229348317554,-5.138177958423714,-5.2647952658645165,1.8472459113206896,-9.192106738887018,-9.192106738887016,-0.9751100262629708,692.5137101656268,762.6140033601954,699.3329761328615,70.10029319456864,-6.819265967234731,893.3259877193697,0.545793,0.116485,0.589224,True
ETH,2023,1742433,0.22025781952993906,0.9077850992130394,-4.83132512705392,-2.8338059024926063,1.827546187358657,-8.462950951295955,-8.46295095129595,1.606277653259136,336.3033787816107,367.39591485265606,330.9868115917771,31.092536071045338,5.316567189833641,447.3244545326021,0.581332,0.047879,0.511394,True
ETH,2024,1743259,0.21294896622360468,0.8826508520300568,-6.235789599186115,-4.734756861653334,1.7632264065466632,-10.472119758684373,-10.472119758684363,-0.11695421177986276,870.5026286608372,972.3257451359992,871.5219102414488,101.82311647516202,-1.0192815806117057,1183.6906038024927,0.448933,0.056118,0.454283,True
ETH,2025,1822211,0.23143344592185905,0.8813741586238326,-6.311216325328758,-4.885731309578764,1.6929376142825798,-10.225969776501643,-10.225969776501636,-1.4966599621662136,849.8403572936818,946.643873710413,862.7528335255125,96.80351641673124,-12.912476231830835,1062.9033036655242,0.48743,0.031023,0.553974,True
ETH,2026,650855,0.24430983101190284,0.8709064409834797,-6.9154248212181075,-5.125856806395209,1.7241013777070104,-11.37465830866169,-11.374658308661706,-3.256158163378431,267.4116717616902,301.7327399346155,276.4120864801792,34.321068172925294,-9.000414718488992,338.3543218021523,0.471599,0.101412,0.607233,True
SOL,2024,145930,0.22100313234259186,0.9122646295007114,-4.602211653819966,-4.414237744350875,1.7061819811035526,-7.661611519570377,-7.661611519570368,-1.372490042030805,20.14059727208113,21.81172706555277,20.420871702696523,1.6711297934716418,-0.2802744306153953,24.88839205808113,0.603013,0.040074,0.668213,True
SOL,2025,204485,0.2148574231867646,0.8994714345522605,-5.283468570885425,-5.164289949003332,1.7142622616083936,-8.720056704748325,-8.720056704748329,-2.3861177943585,37.99430839396705,41.62393952313454,38.92305841696276,3.6296311291674823,-0.928750022995703,47.108922377967055,0.532115,0.037386,0.649273,True
SOL,2026,72504,0.21954464905729257,0.9082338494084365,-4.770769659389133,-3.441745635229297,1.5881183230706493,-7.371064195437171,-7.371064195437185,-1.1792820474707533,8.664043718910829,9.35349590671217,8.767436523860104,0.6894521878013424,-0.10339280494927615,10.319830527910828,0.582016,0.114116,0.643294,True
XRP,2024,45836,0.21606982844810857,0.8802279566248161,-6.447479538513258,-10.329900538492524,1.692214984830794,-10.611589882734329,-10.611589882734334,-6.054753702650562,6.644392839927362,7.433170397829881,7.072622726323968,0.7887775579025187,-0.42822988639660553,8.043458239927363,0.445679,0.120417,0.74102,True
XRP,2025,65802,0.21577921292461325,0.8968957291427225,-5.451969910860479,-5.563908824328157,1.6361493831982168,-8.667207947616784,-8.667207947616776,0.22090129265259772,14.919011284566986,16.334780695207808,14.88612763619272,1.4157694106408227,0.03288364837426506,19.432332084566983,0.522177,0.052345,0.51146,True
XRP,2026,23807,0.19603819907690972,0.9258759965470297,-3.861269171440373,-2.916866723846695,1.5742321270785546,-6.045868833948276,-6.045868833948271,-0.5746447989249726,3.6024032503552808,3.834214851062271,3.623223918154361,0.23181160070699033,-0.02082066779907979,4.7421374503552824,0.62189,0.13798,0.655048,True
