fri,entry_ts,instrument,cp,strike,expiry,T_days,wknd_frac,abs_delta,iv_in,iv_out,iv_change,index_move_pct,vega_usd,gamma_per_vega,theta_per_vega,volga_per_vega,vanna_per_vega,charm_per_day,vega_traded_in_window,net_per_vega,gross_per_vega
2019-02-01,2019-02-01 12:01:06.212000+00:00,BTC-8FEB19-3500-C,C,3500,2019-02-08 08:00:00+00:00,6.83333,0.292716,0.360931,0.4491,0.4919,0.0428,1.37235,175.112,118.937,-0.032861,0.33082,6.7926,-0.0114363,1761.55,-0.0316477,-0.00522067
2019-02-01,2019-02-01 11:29:50.700000+00:00,BTC-8FEB19-3500-P,P,3500,2019-02-08 08:00:00+00:00,6.83333,0.291789,0.623155,0.4925,0.5394,0.0469,1.077,177.625,108.456,-0.0360366,0.243667,5.665,-0.0106063,177.929,-0.042494,-0.0142557
2019-02-15,2019-02-15 11:50:51.045000+00:00,BTC-22FEB19-3625-C,C,3625,2019-02-22 08:00:00+00:00,6.83333,0.292411,0.419677,0.4549,0.4756,0.0207,0.373081,191.042,117.421,-0.0332854,0.118203,4.25892,-0.00758051,191.136,-0.00415843,0.0210367
2019-02-22,2019-02-22 11:52:42.625000+00:00,BTC-1MAR19-4000-C,C,4000,2019-03-01 08:00:00+00:00,6.83333,0.292466,0.405456,0.5027,0.5486,0.0459,4.69371,208.219,106.255,-0.0367829,0.146727,4.48002,-0.00874107,5276.58,-0.128841,-0.10074
2019-02-22,2019-02-22 12:07:37.075000+00:00,BTC-1MAR19-3875-C,C,3875,2019-03-01 08:00:00+00:00,6.83333,0.29291,0.589431,0.5034,0.61,0.1066,4.64488,208.925,106.108,-0.0368341,0.070556,-2.28146,0.00447147,1255.13,-0.153671,-0.124693
2019-02-22,2019-02-22 12:11:18.166000+00:00,BTC-1MAR19-4000-P,P,4000,2019-03-01 08:00:00+00:00,6.83333,0.29302,0.59651,0.4863,0.5729,0.0866,4.70822,208.056,109.839,-0.0355829,0.155977,4.66921,-0.00880281,1037.48,-0.203658,-0.173841
2019-02-22,2019-02-22 11:30:46.614000+00:00,BTC-1MAR19-3875-P,P,3875,2019-03-01 08:00:00+00:00,6.83333,0.291816,0.415635,0.5273,0.588,0.0607,4.68274,209.424,101.298,-0.0385829,0.0570854,-1.95615,0.00402716,629.295,-0.133703,-0.106093
2019-03-01,2019-03-01 12:02:43.547000+00:00,BTC-8MAR19-3875-C,C,3875,2019-03-08 08:00:00+00:00,6.83333,0.292764,0.410674,0.5038,0.461,-0.0428,0.0915785,202.531,106.023,-0.0368634,0.132067,4.2752,-0.00838617,1213.1,0.0653497,0.090909
2019-03-01,2019-03-01 11:51:17.686000+00:00,BTC-8MAR19-3750-P,P,3750,2019-03-08 08:00:00+00:00,6.83333,0.292424,0.398335,0.4814,0.494,0.0126,0.205409,200.963,110.957,-0.0352244,0.102731,-2.91302,0.00541802,201.057,0.0164775,0.0422994
2019-03-15,2019-03-15 12:01:51.885000+00:00,BTC-22MAR19-3875-C,C,3875,2019-03-22 08:00:00+00:00,6.83333,0.292738,0.534341,0.408,0.4538,0.0458,2.5575,211.423,130.918,-0.0298537,0.00641285,-0.543819,0.000882915,2749.77,-0.0397549,-0.0121732
2019-03-22,2019-03-22 11:49:20.561000+00:00,BTC-29MAR19-4000-P,P,4000,2019-03-29 08:00:00+00:00,6.83333,0.292366,0.524743,0.4147,0.3946,-0.0201,0.0310185,216.806,128.803,-0.0303439,0.0178076,2.09489,-0.00346318,866.342,0.0438973,0.0693968
2019-03-29,2019-03-29 12:06:43.405000+00:00,BTC-5APR19-4125-P,P,4125,2019-04-05 08:00:00+00:00,6.83333,0.292883,0.595647,0.3792,0.4111,0.0319,0.512483,215.65,140.861,-0.0277463,0.187547,5.66413,-0.00833109,645.809,0.0002727,0.0270385
2019-03-29,2019-03-29 11:35:17.550000+00:00,BTC-5APR19-4125-C,C,4125,2019-04-05 08:00:00+00:00,6.83333,0.29195,0.452709,0.3838,0.4391,0.0553,0.166849,221.878,139.173,-0.0280829,0.0532052,3.26672,-0.0049723,880.071,-0.0491545,-0.0237133
2019-03-29,2019-03-29 12:32:59.854000+00:00,BTC-5APR19-4000-C,C,4000,2019-04-05 08:00:00+00:00,6.83333,0.293668,0.634335,0.4025,0.3775,-0.025,0.743091,209.485,132.707,-0.0294512,0.245167,-5.22586,0.00792159,209.099,-0.00591021,0.0231211
2019-04-05,2019-04-05 12:02:03.593000+00:00,BTC-12APR19-5000-C,C,5000,2019-04-12 08:00:00+00:00,6.83333,0.292744,0.528293,0.7518,0.761,0.00919998,0.568952,272.79,71.049,-0.0550098,-0.00301026,0.309936,-0.00092832,2995.55,0.00683877,0.0343905
2019-04-05,2019-04-05 12:31:20.011000+00:00,BTC-12APR19-5000-P,P,5000,2019-04-12 08:00:00+00:00,6.83333,0.293618,0.460115,0.8088,0.7295,-0.0793,0.266571,272.914,66.0418,-0.0591805,-0.00130092,0.0949265,-0.000305118,816.993,0.0852925,0.11181
2019-04-26,2019-04-26 12:04:50.022000+00:00,BTC-3MAY19-5000-P,P,5000,2019-05-03 08:00:00+00:00,6.83333,0.292827,0.352649,0.5827,0.5411,-0.0416,0.575332,261.046,91.6675,-0.0426366,0.193613,-3.74241,0.00810903,260.975,0.0526332,0.0789911
2019-04-26,2019-04-26 12:07:59.523000+00:00,BTC-3MAY19-5125-C,C,5125,2019-05-03 08:00:00+00:00,6.83333,0.292921,0.523618,0.564,0.4453,-0.1187,0.549428,279.707,94.7068,-0.0412683,-0.00188298,0.232289,-0.000522351,279.594,0.134985,0.162247
2019-04-26,2019-04-26 11:44:32.349000+00:00,BTC-3MAY19-5125-P,P,5125,2019-05-03 08:00:00+00:00,6.83333,0.292224,0.44815,0.547,0.4905,-0.0565,0.428195,279.321,97.6502,-0.0400244,0.0132371,-0.742018,0.00160742,1120.57,0.0925531,0.118426
2019-05-03,2019-05-03 12:08:59.375000+00:00,BTC-10MAY19-5750-C,C,5750,2019-05-10 08:00:00+00:00,6.83333,0.292951,0.487501,0.6267,0.6109,-0.0158,1.01676,311.726,85.2316,-0.0458561,0.00584157,1.3648,-0.00341456,1866.42,-0.00365265,0.024622
2019-05-03,2019-05-03 11:42:54.248000+00:00,BTC-10MAY19-5750-P,P,5750,2019-05-10 08:00:00+00:00,6.83333,0.292175,0.512473,0.5909,0.6223,0.0314,0.946449,311.898,90.3954,-0.0432366,0.00595711,1.38797,-0.00327415,1549.96,-0.100389,-0.0711852
2019-05-10,2019-05-10 12:03:14.405000+00:00,BTC-17MAY19-6250-C,C,6250,2019-05-17 08:00:00+00:00,6.83333,0.292779,0.530779,0.5445,0.9369,0.3924,18.1639,341.16,98.0985,-0.0398415,0.00038649,-0.0365762,7.93084e-05,1365.91,-0.542732,-0.512385
