currency,spec,bucket,n,n_days,n_cells,var_kept,beta,se,t,beta_recon,beta_diff,se_diff,t_diff,predicted,share_at_tick,t_vs_predicted
BTC,"cell, off-tick prints only",near,3097274,3398,84673,0.05547748412117652,-0.5601515913709376,0.039799298762971426,-14.074408564506994,-0.5594682516985623,-0.0006833396723740523,0.0026457118829202103,-0.25828196818612564,-0.5107491009316844,0.0,-1.2412904743240472
BTC,"cell, off-tick prints only",wing,2546763,3361,104287,0.04292741745352134,-0.4083867490920246,0.050548621886858956,-8.079087695132442,-0.39912292553571144,-0.009263823556313586,0.007222884210489916,-1.28256570178151,-0.7268775785855602,0.0,6.300682740795613
BTC,"cell, off-tick prints only",far wing,418762,3179,46094,0.02083312899125401,-0.1937756151928195,0.13584119096431813,-1.4264864274027103,-0.23293085367016952,0.039155238477350474,0.03583297100119582,1.09271537869533,-0.994073407663889,0.0,5.891422084787864
ETH,"day FE, polynomial controls",all,9210445,2703,2703,0.44444910014798733,-0.42486267192344707,0.01573067406302663,-27.008548408109487,-0.4248774378549981,1.4765931563233862e-05,0.0008136478587695969,0.018147815918256077,-0.5860370316467403,0.13624716286780933,10.245864803855886
ETH,"day FE, polynomial controls",at the money,3498493,2703,2703,0.4280521203445598,-0.38986465773281376,0.01202300498018295,-32.42655711907401,-0.3875865393352902,-0.0022781183975218787,0.0011843223667379462,-1.9235627574919858,-0.29942176184465435,0.0012216688728546835,-7.5224867690924935
ETH,"day FE, polynomial controls",near,2286971,2703,2703,0.43584002859799875,-0.5316271865139891,0.016772319331202292,-31.69670073744538,-0.5338583748869246,0.0022311883729343967,0.0012801254829404348,1.7429450492692173,-0.5237029616853403,0.02367410867912186,-0.4724584997560274
ETH,"day FE, polynomial controls",wing,2517712,2703,2703,0.44219520527028144,-0.6453988909014412,0.022929435834246188,-28.14717708568772,-0.6495205040523278,0.004121613150899108,0.0019520098208423405,2.1114715238064377,-0.8658995361345347,0.2363352122879821,9.616488029930744
ETH,"day FE, polynomial controls",far wing,907269,2691,2691,0.40751728499147355,-0.3684776236232511,0.021099734261441974,-17.463614425543433,-0.3634056579849848,-0.005071965638280021,0.004685881862482803,-1.0823929811138373,-1.209292656322256,0.6629312805794092,39.84955555746145
ETH,day x strike x maturity cell,all,9210445,2703,291948,0.06870076104531891,-0.5682780790876935,0.02584105236245994,-21.991290103697473,-0.5682240472959286,-5.403179176249316e-05,0.0009592308605383519,-0.056328245874167085,-0.5485542054768948,0.13624716286780933,-0.7632767169905236
ETH,day x strike x maturity cell,at the money,3498493,2703,68891,0.07160837742105806,-0.4185409575003612,0.019493578291009322,-21.470709546096902,-0.41376546848501833,-0.004775489015343709,0.0014630021358974987,-3.2641709114212056,-0.2968143877811803,0.0012216688728546835,-6.244444601293272
ETH,day x strike x maturity cell,near,2286971,2703,85494,0.06100720546960254,-0.639606810317825,0.029950261742577068,-21.355633410327254,-0.6416056902820371,0.0019988799642149694,0.0014976108932526022,1.3347124898869296,-0.5219747777700643,0.02367410867912186,-3.9275794501834302
ETH,day x strike x maturity cell,wing,2517712,2703,125033,0.05424288202204444,-0.7864520152093019,0.04118607898808654,-19.09509316089037,-0.7913875501661514,0.004935534956851702,0.002751435934919557,1.793803335274096,-0.8508871574868998,0.2363352122879821,1.564488386870632
ETH,day x strike x maturity cell,far wing,907269,2691,99286,0.043994020145714206,-0.5449674146783443,0.04593779063939849,-11.863161181525209,-0.5419913731272398,-0.002976041551104234,0.005007580760548186,-0.5943072500299411,-1.1664082665730167,0.6629312805794092,13.527878534099425
ETH,"cell, off-tick prints only",all,7955548,2703,235126,0.06786427156118506,-0.4111272893081043,0.02189862481918107,-18.774114479919156,-0.4099777902266203,-0.0011494990814823393,0.0012040499796380818,-0.9546938257727976,-0.41621757378346563,0.0,0.2324476773035863
ETH,"cell, off-tick prints only",at the money,3494219,2703,68879,0.07147581662907038,-0.40513637647317197,0.01912769287866729,-21.180619065930944,-0.4007361432193522,-0.004400233253822092,0.0014367787914093388,-3.062568350905219,-0.29509171567647985,0.0,-5.753159123514712
ETH,"cell, off-tick prints only",near,2232829,2703,84739,0.05907887485841501,-0.525430605471313,0.027938500798888797,-18.806685772209047,-0.5277992504117026,0.0023686449403914275,0.0017967681861035918,1.318280765827665,-0.49869662352524086,0.0,-0.9568867756546006
ETH,"cell, off-tick prints only",wing,1922688,2703,106997,0.04496382177863265,-0.44874930197411583,0.04014871908595936,-11.177176064156193,-0.4565661612810701,0.007816859306952934,0.004846818031679081,1.6127816757017681,-0.7197238012856901,0.0,6.749268855412585
ETH,"cell, off-tick prints only",far wing,305812,2663,42648,0.02039875744199794,-0.42111029054678717,0.12444941216186543,-3.383786899684741,-0.38921537979658327,-0.03189491075020407,0.021202417256086632,-1.5043053990010464,-0.9454409826699558,0.0,4.213203445599218
SOL,"day FE, polynomial controls",all,422916,886,886,0.4672161946216682,-0.42875133930173004,0.02604970711593614,-16.45896966877749,-0.4288311359052364,7.979660350455633e-05,0.0002789344245026108,0.28607657031521916,-0.7119057248846568,0.0,10.869772328829928
SOL,"day FE, polynomial controls",at the money,183208,886,886,0.42058368002958313,-0.3920633970345225,0.015323899791054372,-25.585092723158972,-0.39230658282332914,0.0002431857888072821,0.00029297992579034604,0.8300424957486807,-0.41254292938284237,0.0,1.3364438966297094
SOL,"day FE, polynomial controls",near,113088,886,886,0.4502680346671494,-0.6057885392300354,0.02700843831361081,-22.429602637363537,-0.6059754311509127,0.00018689192088925803,0.00045307905186245623,0.41249296369145283,-0.7276821479134028,0.0,4.513167598510853
SOL,"day FE, polynomial controls",wing,102966,886,886,0.4605840541673499,-0.5948343037271538,0.040230730798699946,-14.7855704313076,-0.5950180531148128,0.00018374938765914646,0.0008805238204787066,0.2086819043228712,-1.1321142457919524,0.0,13.354963516649834
SOL,"day FE, polynomial controls",far wing,23654,873,873,0.3775558438870402,-0.3112948286961913,0.10927449837372821,-2.8487417771668566,-0.3088753437818304,-0.0024194849143616194,0.0016706050593311191,-1.448268638268304,-1.5291849787854683,0.0,11.145236704029404
SOL,day x strike x maturity cell,all,422916,886,64008,0.024420151203121503,-0.483324332498511,0.05807805140507616,-8.321979143678146,-0.4854003815190776,0.002076049020567098,0.0026656323790113477,0.7788204543557805,-0.6045240280957817,0.0,2.0868416323395715
SOL,day x strike x maturity cell,at the money,183208,886,20257,0.02799195300191393,-0.37530831451447766,0.06223879275710395,-6.030134870693486,-0.37794918493622637,0.0026408704217491213,0.002023661403318908,1.3049961902806264,-0.41314593633262786,0.0,0.6079427338158228
SOL,day x strike x maturity cell,near,113088,886,20586,0.016286239294762403,-0.6505320990543341,0.07516934687141769,-8.654220451949833,-0.6469443097659352,-0.0035877892884012856,0.005936135378503353,-0.6043981579991958,-0.7101718086157469,0.0,0.7934046528757347
SOL,day x strike x maturity cell,wing,102966,886,24149,0.01447457954401824,-0.487049949770431,0.1119369232756048,-4.3511107462838154,-0.500812020557254,0.01376207078682366,0.019512739180173228,0.705286462333654,-1.042633125495849,0.0,4.963359358712158
SOL,day x strike x maturity cell,far wing,23654,873,8538,0.005911558761789384,-0.06537491072420516,0.43362879894268797,-0.15076238221171667,-0.0699977354547389,0.004622824730534602,0.0023685444464834793,1.9517576448261285,-1.3531591245326038,0.0,2.969784795079081
SOL,"cell, off-tick prints only",all,422916,886,64008,0.024420151203121503,-0.483324332498511,0.05807805140507616,-8.321979143678146,-0.4854003815190776,0.002076049020567098,0.0026656323790113477,0.7788204543557805,-0.6045240280957817,0.0,2.0868416323395715
SOL,"cell, off-tick prints only",at the money,183208,886,20257,0.02799195300191393,-0.37530831451447766,0.06223879275710395,-6.030134870693486,-0.37794918493622637,0.0026408704217491213,0.002023661403318908,1.3049961902806264,-0.41314593633262786,0.0,0.6079427338158228
SOL,"cell, off-tick prints only",near,113088,886,20586,0.016286239294762403,-0.6505320990543341,0.07516934687141769,-8.654220451949833,-0.6469443097659352,-0.0035877892884012856,0.005936135378503353,-0.6043981579991958,-0.7101718086157469,0.0,0.7934046528757347
SOL,"cell, off-tick prints only",wing,102966,886,24149,0.01447457954401824,-0.487049949770431,0.1119369232756048,-4.3511107462838154,-0.500812020557254,0.01376207078682366,0.019512739180173228,0.705286462333654,-1.042633125495849,0.0,4.963359358712158
SOL,"cell, off-tick prints only",far wing,23654,873,8538,0.005911558761789384,-0.06537491072420516,0.43362879894268797,-0.15076238221171667,-0.0699977354547389,0.004622824730534602,0.0023685444464834793,1.9517576448261285,-1.3531591245326038,0.0,2.969784795079081
XRP,"day FE, polynomial controls",all,135434,886,886,0.4265282870290512,-0.5255809148602597,0.034982869509005664,-15.023950929038541,-0.5262197227665801,0.0006388079063212398,0.0004697841090251899,1.359790367636694,-0.8484108606765591,0.0,9.228229426210822
XRP,"day FE, polynomial controls",at the money,68323,883,883,0.37687635126571234,-0.4513361267697758,0.024027534099142468,-18.784121787424027,-0.45174204345737107,0.00040591668759546335,0.0004368748908076669,0.9291371423178614,-0.5143877353786352,0.0,2.6241398034727887
XRP,"day FE, polynomial controls",near,30578,862,862,0.372006359229682,-0.6424564466422362,0.03548909842337112,-18.102923860673524,-0.6435324304282212,0.0010759837859644495,0.0010043635064252213,1.0713091217283894,-0.8840545413450946,0.0,6.807670677363715
XRP,"day FE, polynomial controls",wing,27715,854,854,0.38802090226105157,-0.6469199592748198,0.06306662780195584,-10.257722377456139,-0.6493520820083684,0.0024321227335338093,0.0024349081036107198,0.9988560676796057,-1.3506891474640539,0.0,11.159137767746774
XRP,"day FE, polynomial controls",far wing,8718,764,764,0.23070840710853538,-0.292365012302802,0.1366532670818481,-2.139465953109564,-0.2892352634820535,-0.003129748820736388,0.0019527993827614918,-1.6026985917573104,-1.7291478844650925,0.0,10.514076266480576
XRP,day x strike x maturity cell,all,135434,886,32734,0.02601388388525238,-0.4895243725871768,0.06250238713743785,-7.832090820959384,-0.4927060042023118,0.003181631615137543,0.00384520332948075,0.8274287059787773,-0.6828738813598192,0.0,3.0934739876011776
XRP,day x strike x maturity cell,at the money,68323,883,12999,0.029256054659902747,-0.4345458413667664,0.04819011659930875,-9.017322887593918,-0.4351872321626694,0.0006413907959006517,0.0006178660020237049,1.0380742649699057,-0.5015026619022653,0.0,1.389430556730784
XRP,day x strike x maturity cell,near,30578,862,9616,0.019558435356088453,-0.6193570477927541,0.07613851309219498,-8.134609183170992,-0.6139525082492022,-0.005404539543549732,0.005232867967075415,-1.0328064032103341,-0.8347188123849808,0.0,2.8285522772351537
XRP,day x strike x maturity cell,wing,27715,854,9602,0.008788110459010708,-1.167349310456494,0.2117781611453702,-5.512132620960828,-1.158719311605524,-0.00862999885096899,0.010840792499715516,-0.7960671557172097,-1.4342469810679384,0.0,1.2602700352480565
XRP,day x strike x maturity cell,far wing,8718,764,3225,0.0013782467008896738,-0.14486392901423306,0.8579206028439119,-0.1688547034935694,-0.15069895665929092,0.005835027645057415,0.015279794345258117,0.38187867671584463,-1.6634828771645398,0.0,1.7701159560876063
XRP,"cell, off-tick prints only",all,135434,886,32734,0.02601388388525238,-0.4895243725871768,0.06250238713743785,-7.832090820959384,-0.4927060042023118,0.003181631615137543,0.00384520332948075,0.8274287059787773,-0.6828738813598192,0.0,3.0934739876011776
XRP,"cell, off-tick prints only",at the money,68323,883,12999,0.029256054659902747,-0.4345458413667664,0.04819011659930875,-9.017322887593918,-0.4351872321626694,0.0006413907959006517,0.0006178660020237049,1.0380742649699057,-0.5015026619022653,0.0,1.389430556730784
XRP,"cell, off-tick prints only",near,30578,862,9616,0.019558435356088453,-0.6193570477927541,0.07613851309219498,-8.134609183170992,-0.6139525082492022,-0.005404539543549732,0.005232867967075415,-1.0328064032103341,-0.8347188123849808,0.0,2.8285522772351537
XRP,"cell, off-tick prints only",wing,27715,854,9602,0.008788110459010708,-1.167349310456494,0.2117781611453702,-5.512132620960828,-1.158719311605524,-0.00862999885096899,0.010840792499715516,-0.7960671557172097,-1.4342469810679384,0.0,1.2602700352480565
XRP,"cell, off-tick prints only",far wing,8718,764,3225,0.0013782467008896738,-0.14486392901423306,0.8579206028439119,-0.1688547034935694,-0.15069895665929092,0.005835027645057415,0.015279794345258117,0.38187867671584463,-1.6634828771645398,0.0,1.7701159560876063
